lI (206999) sensors;206819928;A;0.001426;0.029371;0.027714;3.000000
lI (207019) sensors;206839927;A;0.013830;-0.003480;-0.007485;3.000000
lI (207044) sensors;206859697;A;0.012894;-0.003863;0.027657;3.000000
lI (207064) sensors;206879775;A;-0.034550;0.017019;-0.008551;3.000000
lI (207079) sensors;206899758;A;-0.023811;-0.016513;0.018725;3.000000
lI (207104) sensors;206919676;A;0.013102;-0.003778;0.019848;3.000000
lI (207119) sensors;206939676;A;0.014038;-0.003395;-0.015295;3.000000
lI (207139) sensors;206959654;A;0.002570;0.029840;-0.015238;3.000000
lI (207164) sensors;206979583;A;-0.022874;-0.016130;-0.016417;3.000000
lI (207184) sensors;206999508;A;-0.023811;-0.016513;0.018725;3.000000
lI (207199) sensors;207019502;A;-0.022874;-0.016130;-0.016417;3.000000
lI (207219) sensors;207039445;A;0.014038;-0.003395;-0.015295;3.000000
lI (207239) sensors;207059401;A;-0.023811;-0.016513;0.018725;3.000000
lI (207259) sensors;207079368;A;0.014038;-0.003395;-0.015295;3.000000
lI (207279) sensors;207099223;A;-0.022874;-0.016130;-0.016417;3.000000
lI (207299) sensors;207119285;A;-0.022874;-0.016130;-0.016417;3.000000
lI (207319) sensors;207139091;A;0.001634;0.029456;0.019905;3.000000
lI (207339) sensors;207159295;A;-0.034342;0.017105;-0.016361;3.000000
lI (207349) sensors;207171070;P;0.000000;0.000000;-17.000000;4294967.500000
lI (207349) sensors;207171070;S;0.000000;0.000000;171.317993
lI (207359) sensors;207179205;A;0.020484;-0.001231;0.020072;3.000000
lI (207379) sensors;207199053;A;-0.026959;0.019652;-0.016136;3.000000
lI (207399) sensors;207218946;A;-0.015492;-0.013583;-0.016193;3.000000
lI (207419) sensors;207238806;A;0.023969;-0.008233;-0.015083;3.000000
lI (207439) sensors;207258871;A;0.023033;-0.008616;0.020060;3.000000
lI (207459) sensors;207278755;A;0.023969;-0.008233;-0.015083;3.000000
lI (207484) sensors;207298671;A;0.012501;0.025001;-0.015026;3.000000
lI (207499) sensors;207318800;A;-0.013877;-0.021351;0.018939;3.000000
lI (207519) sensors;207338734;A;0.023967;-0.008231;-0.015087;3.000000
lI (207539) sensors;207358599;A;0.012499;0.025003;-0.015025;3.000000
lI (207559) sensors;207378129;A;-0.013877;-0.021353;0.018937;3.000000
lI (207579) sensors;207398562;A;-0.012945;-0.020966;-0.016206;3.000000
lI (207599) sensors;207418553;A;0.023967;-0.008231;-0.015087;3.000000
lI (207619) sensors;207438525;A;-0.025345;0.011881;0.018999;3.000000
lI (207639) sensors;207458479;A;-0.012945;-0.020966;-0.016206;3.000000
lI (207659) sensors;207478482;A;0.023967;-0.008231;-0.015087;3.000000
lI (207679) sensors;207498293;A;0.012497;0.025003;-0.015027;3.000000
lI (207699) sensors;207518250;A;-0.024415;0.012267;-0.016141;3.000000
lI (207719) sensors;207538285;A;-0.025342;0.011879;0.019003;3.000000
lI (207739) sensors;207558231;A;-0.013874;-0.021355;0.018937;3.000000
lI (207764) sensors;207578244;A;-0.012948;-0.020965;-0.016206;3.000000
lI (207779) sensors;207597773;A;0.012497;0.025004;-0.015025;3.000000
lI (207799) sensors;207618109;A;-0.012948;-0.020965;-0.016206;3.000000
lI (207819) sensors;207638046;A;0.023759;-0.008317;-0.007282;3.000000
lI (207839) sensors;207658004;A;-0.013153;-0.021051;-0.008397;3.000000
lI (207859) sensors;207677949;A;0.023759;-0.008317;-0.007282;3.000000
lI (207879) sensors;207697742;A;0.023758;-0.008317;-0.007284;3.000000
lI (207899) sensors;207717892;A;0.023758;-0.008317;-0.007284;3.000000
lI (207919) sensors;207737797;A;0.011368;0.024528;0.027926;3.000000
lI (207939) sensors;207757779;A;0.023758;-0.008317;-0.007284;3.000000
lI (207959) sensors;207777763;A;-0.013154;-0.021052;-0.008394;3.000000
lI (207979) sensors;207797319;A;0.015454;-0.011257;0.027635;3.000000
lI (207999) sensors;207817705;A;-0.021459;-0.023991;0.026524;3.000000
lI (208019) sensors;207837574;A;0.013827;-0.003477;-0.007492;3.000000
lI (208039) sensors;207857542;A;-0.023086;-0.016212;-0.008603;3.000000
lI (208059) sensors;207877560;A;-0.023085;-0.016212;-0.008606;3.000000
lI (208084) sensors;207897428;A;-0.024010;-0.016607;0.026537;3.000000
lI (208099) sensors;207917416;A;-0.016629;-0.014056;0.026761;3.000000
lI (208119) sensors;207937361;A;0.021417;-0.000844;-0.015076;3.000000
lI (208139) sensors;207957269;A;0.009022;0.031999;0.020133;3.000000
lI (208159) sensors;207977247;A;0.009949;0.032390;-0.015010;3.000000
lI (208184) sensors;207997216;A;-0.015498;-0.013580;-0.016189;3.000000
lI (208199) sensors;208017206;A;0.002564;0.029842;-0.015234;3.000000
lI (208219) sensors;208037016;A;-0.023805;-0.016517;0.018729;3.000000
lI (208239) sensors;208057083;A;-0.020330;-0.023512;-0.016429;3.000000
lI (208259) sensors;208077073;A;0.016582;-0.010777;-0.015314;3.000000
lI (208279) sensors;208096971;A;0.016582;-0.010777;-0.015314;3.000000
lI (208299) sensors;208117148;A;-0.022879;-0.016126;-0.016414;3.000000
lI (208319) sensors;208136905;A;0.014034;-0.003391;-0.015299;3.000000
lI (208339) sensors;208156835;A;0.013107;-0.003782;0.019843;3.000000
lI (208349) sensors;208172126;P;0.000000;0.000000;-17.000000;4294967.500000
lI (208349) sensors;208172126;S;0.000000;0.000000;171.464005
lI (208359) sensors;208176794;A;-0.034346;0.017108;-0.016347;3.000000
lI (208379) sensors;208196656;A;-0.023805;-0.016517;0.018729;3.000000
