Time [s],Value,Parity Error,Framing Error
1.599966100,,,,
1.601007400,0,,
1.602048800,1,,
1.603090100,,,,
1.604131400,0,,
1.605172800,2,,
1.606214100,,,,
1.607255500,G,,
1.608296800,P,,
1.609338100,S,,
1.610379500,;,,
1.611420800,G,,
1.612462200,L,,
1.613503500,O,,
1.614544900,;,,
1.615586200,G,,
1.616627500,A,,
1.617668900,L,,
1.618710200,;,,
1.619751600,B,,
1.620792900,D,,
1.621834300,S,,
1.622875600,*,,
1.623916900,7,,
1.624958300,7,,
1.625999600,CR ,,
1.627041000,LF ,,
1.628082300,$,,
1.629123600,G,,
1.630165000,N,,
1.631206300,T,,
1.632247700,X,,
1.633289000,T,,
1.634330400,,,,
1.635371700,0,,
1.636413000,1,,
1.637454400,,,,
1.638495700,0,,
1.639537100,1,,
1.640578400,,,,
1.641619700,0,,
1.642661100,2,,
1.643702400,,,,
1.644743800,S,,
1.645785100,B,,
1.646826500,A,,
1.647867800,S,,
1.648909200,;,,
1.649950500,I,,
1.650991800,M,,
1.652033200,E,,
1.653074500,S,,
1.654115900,;,,
1.655157200,Q,,
1.656198500,Z,,
1.657239900,S,,
1.658281200,S,,
1.659322600,*,,
1.660363900,4,,
1.661405300,9,,
1.662446600,CR ,,
1.663488000,LF ,,
1.664529300,$,,
1.665570600,G,,
1.666612000,N,,
1.667653300,T,,
1.668694700,X,,
1.669736000,T,,
1.670777300,,,,
1.671818700,0,,
1.672860000,1,,
1.673901400,,,,
1.674942700,0,,
1.675984000,1,,
1.677025400,,,,
1.678066700,0,,
1.679108100,2,,
1.680149400,,,,
1.681190800,G,,
1.682232100,N,,
1.683273400,S,,
1.684314800,S,,
1.685356100,(SP),,
1.686397500,O,,
1.687438800,T,,
1.688480100,P,,
1.689521500,=,,
1.690562800,G,,
1.691604200,P,,
1.692645500,S,,
1.693686900,;,,
1.694728200,G,,
1.695769600,L,,
1.696810900,O,,
1.697852200,*,,
1.698893600,3,,
1.699934900,7,,
1.700976300,CR ,,
1.702017600,LF ,,
1.703058900,$,,
1.704100300,G,,
1.705141600,N,,
1.706183000,T,,
1.707224300,X,,
1.708265700,T,,
1.709307000,,,,
1.710348300,0,,
1.711389700,1,,
1.712431000,,,,
1.713472400,0,,
1.714513700,1,,
1.715555100,,,,
1.716596400,0,,
1.717637700,2,,
1.718679100,,,,
1.719720400,L,,
1.720761800,L,,
1.721803100,C,,
1.722844400,=,,
1.723885800,F,,
1.724927100,F,,
1.725968500,F,,
1.727009800,F,,
1.728051200,F,,
1.729092500,F,,
1.730133800,F,,
1.731175200,F,,
1.732216500,-,,
1.733257900,F,,
1.734299200,F,,
1.735340500,F,,
1.736381900,F,,
1.737423200,F,,
1.738464600,F,,
1.739505900,F,,
1.740547300,F,,
1.741588600,-,,
1.742630000,F,,
1.743671300,F,,
1.744712600,F,,
1.745754000,F,,
1.746795300,F,,
1.747836700,F,,
1.748878000,F,,
1.749919300,F,,
1.750960700,-,,
1.752002000,F,,
1.753043400,F,,
1.754084700,F,,
1.755126100,F,,
1.756167400,F,,
1.757208800,F,,
1.758250100,F,,
1.759291400,F,,
1.760332800,-,,
1.761374100,F,,
1.762415500,F,,
1.763456800,F,,
1.764498100,F,,
1.765539500,F,,
1.766580800,F,,
1.767622200,F,,
1.768663500,D,,
1.769704800,*,,
1.770746200,2,,
1.771787500,F,,
1.772828900,CR ,,
1.773870200,LF ,,
1.774911600,$,,
1.775952900,G,,
1.776994200,N,,
1.778035600,T,,
1.779076900,X,,
1.780118300,T,,
1.781159600,,,,
1.782200900,0,,
1.783242300,1,,
1.784283600,,,,
1.785325000,0,,
1.786366300,1,,
1.787407700,,,,
1.788449000,0,,
1.789490400,2,,
1.790531700,,,,
1.791573000,A,,
1.792614400,N,,
1.793655700,T,,
1.794697100,S,,
1.795738400,U,,
1.796779700,P,,
1.797821100,E,,
1.798862400,R,,
1.799903800,V,,
1.800945100,=,,
1.801986500,A,,
1.803027800,C,,
1.804069200,(SP),,
1.805110500,S,,
1.806151800,D,,
1.807193200,(SP),,
1.808234500,P,,
1.809275900,D,,
1.810317200,o,,
1.811358500,S,,
1.812399900,(SP),,
1.813441200,S,,
1.814482600,R,,
1.815523900,*,,
1.816565200,3,,
1.817606600,E,,
1.818647900,CR ,,
1.819689300,LF ,,
1.820730600,$,,
1.821772000,G,,
1.822813300,N,,
1.823854600,T,,
1.824896000,X,,
1.825937300,T,,
1.826978700,,,,
1.828020000,0,,
1.829061300,1,,
1.830102700,,,,
1.831144000,0,,
1.832185400,1,,
1.833226700,,,,
1.834268100,0,,
1.835309400,2,,
1.836350800,,,,
1.837392100,A,,
1.838433400,N,,
1.839474800,T,,
1.840516100,S,,
1.841557500,T,,
1.842598800,A,,
1.843640100,T,,
1.844681500,U,,
1.845722800,S,,
1.846764200,=,,
1.847805500,D,,
1.848846900,O,,
1.849888200,N,,
1.850929600,T,,
1.851970900,K,,
1.853012200,N,,
1.854053600,O,,
1.855094900,W,,
1.856136300,*,,
1.857177600,2,,
1.858218900,D,,
1.859260300,CR ,,
1.860301600,LF ,,
1.861343000,$,,
1.862384300,G,,
1.863425600,N,,
1.864467000,T,,
1.865508300,X,,
1.866549700,T,,
1.867591000,,,,
1.868632400,0,,
1.869673700,1,,
1.870715000,,,,
1.871756400,0,,
1.872797700,1,,
1.873839100,,,,
1.874880400,0,,
1.875921700,2,,
1.876963100,,,,
1.878004400,P,,
1.879045800,F,,
1.880087100,=,,
1.881128500,3,,
1.882169800,F,,
1.883211200,F,,
1.884252500,*,,
1.885293800,4,,
1.886335200,B,,
1.887376500,CR ,,
1.888417900,LF ,,
1.889459200,$,,
1.890500500,G,,
1.891541900,N,,
1.892583200,R,,
1.893624600,M,,
1.894665900,C,,
1.895707300,,,,
1.896748600,,,,
1.897790000,V,,
1.898831300,,,,
1.899872600,,,,
1.900914000,,,,
1.901955300,,,,
1.902996700,,,,
1.904038000,,,,
1.905079300,,,,
1.906120700,,,,
1.907162000,,,,
1.908203400,,,,
1.909244700,N,,
1.910286000,*,,
1.911327400,4,,
1.912368700,D,,
1.913410100,CR ,,
1.914451400,LF ,,
1.915492800,$,,
1.916534100,G,,
1.917575400,N,,
1.918616800,V,,
1.919658100,T,,
1.920699500,G,,
1.921740800,,,,
1.922782100,,,,
1.923823500,,,,
1.924864800,,,,
1.925906200,,,,
1.926947500,,,,
1.927988900,,,,
1.929030200,,,,
1.930071600,,,,
1.931112900,N,,
1.932154200,*,,
1.933195600,2,,
1.934236900,E,,
1.935278300,CR ,,
1.936319600,LF ,,
1.937360900,$,,
1.938402300,G,,
1.939443600,N,,
1.940485000,G,,
1.941526300,G,,
1.942567700,A,,
1.943609000,,,,
1.944650400,,,,
1.945691700,,,,
1.946733000,,,,
1.947774400,,,,
1.948815700,,,,
1.949857100,0,,
1.950898400,,,,
1.951939700,0,,
1.952981100,0,,
1.954022400,,,,
1.955063800,9,,
1.956105100,9,,
1.957146400,.,,
1.958187800,9,,
1.959229100,9,,
1.960270500,,,,
1.961311800,,,,
1.962353200,,,,
1.963394500,,,,
1.964435800,,,,
1.965477200,,,,
1.966518500,*,,
1.967559900,5,,
1.968601200,6,,
1.969642500,CR ,,
1.970683900,LF ,,
1.971725200,$,,
1.972766600,G,,
1.973807900,N,,
1.974849300,G,,
1.975890600,S,,
1.976932000,A,,
1.977973300,,,,
1.979014600,A,,
1.980056000,,,,
1.981097300,1,,
1.982138700,,,,
1.983180000,,,,
1.984221300,,,,
1.985262700,,,,
1.986304000,,,,
1.987345400,,,,
1.988386700,,,,
1.989428100,,,,
1.990469400,,,,
1.991510800,,,,
1.992552100,,,,
1.993593400,,,,
1.994634800,,,,
1.995676100,9,,
1.996717500,9,,
1.997758800,.,,
1.998800100,9,,
1.999841500,9,,
2.000882800,,,,
2.001924200,9,,
2.002965500,9,,
2.004006900,.,,
2.005048200,9,,
2.006089500,9,,
2.007130900,,,,
2.008172200,9,,
2.009213600,9,,
2.010254900,.,,
2.011296200,9,,
2.012337600,9,,
2.013378900,*,,
2.014420300,2,,
2.015461600,E,,
2.016502900,CR ,,
2.017544300,LF ,,
2.018585600,$,,
2.019627000,G,,
2.020668300,N,,
2.021709700,G,,
2.022751000,S,,
2.023792400,A,,
2.024833700,,,,
2.025875000,A,,
2.026916400,,,,
2.027957700,1,,
2.028999100,,,,
2.030040400,,,,
2.031081700,,,,
2.032123100,,,,
2.033164400,,,,
2.034205800,,,,
2.035247100,,,,
2.036288500,,,,
2.037329800,,,,
2.038371200,,,,
2.039412500,,,,
2.040453800,,,,
2.041495200,,,,
2.042536500,9,,
2.043577900,9,,
2.044619200,.,,
2.045660500,9,,
2.046701900,9,,
2.047743200,,,,
2.048784600,9,,
2.049825900,9,,
2.050867300,.,,
2.051908600,9,,
2.052949900,9,,
2.053991300,,,,
2.055032600,9,,
2.056074000,9,,
2.057115300,.,,
2.058156600,9,,
2.059198000,9,,
2.060239300,*,,
2.061280700,2,,
2.062322000,E,,
2.063363300,CR ,,
2.064404700,LF ,,
2.065446000,$,,
2.066487400,G,,
2.067528700,P,,
2.068570100,G,,
2.069611400,S,,
2.070652800,V,,
2.071694100,,,,
2.072735400,1,,
2.073776800,,,,
2.074818100,1,,
2.075859500,,,,
2.076900800,0,,
2.077942100,0,,
2.078983500,*,,
2.080024800,7,,
2.081066200,9,,
2.082107500,CR ,,
2.083148900,LF ,,
2.084190200,$,,
2.085231600,G,,
2.086272900,L,,
2.087314200,G,,
2.088355600,S,,
2.089396900,V,,
2.090438300,,,,
2.091479600,1,,
2.092520900,,,,
2.093562300,1,,
2.094603600,,,,
2.095645000,0,,
2.096686300,0,,
2.097727700,*,,
2.098769000,6,,
2.099810300,5,,
2.100851700,CR ,,
2.101893000,LF ,,
2.102934400,$,,
2.103975700,G,,
2.105017000,N,,
2.106058400,G,,
2.107099700,L,,
2.108141100,L,,
2.109182400,,,,
2.110223700,,,,
2.111265100,,,,
2.112306400,,,,
2.113347800,,,,
2.114389100,,,,
2.115430500,V,,
2.116471800,,,,
2.117513200,N,,
2.118554500,*,,
2.119595800,7,,
2.120637200,A,,
2.121678500,CR ,,
2.122719900,LF ,,
2.400302700,$,,
2.401344000,G,,
2.402385300,N,,
2.403426700,T,,
2.404468000,X,,
2.405509400,T,,
2.406550700,,,,
2.407592000,0,,
2.408633400,1,,
2.409674700,,,,
2.410716100,0,,
2.411757400,1,,
2.412798800,,,,
2.413840100,0,,
2.414881400,2,,
2.415922800,,,,
2.416964100,A,,
2.418005500,N,,
2.419046800,T,,
2.420088200,S,,
2.421129500,T,,
2.422170800,A,,
2.423212200,T,,
2.424253500,U,,
2.425294900,S,,
2.426336200,=,,
2.427377500,I,,
2.428418900,N,,
2.429460200,I,,
2.430501600,T,,
2.431542900,*,,
2.432584300,3,,
2.433625600,B,,
2.434666900,CR ,,
2.435708300,LF ,,
2.440244600,$,,
2.441286000,G,,
2.442327300,N,,
2.443368700,R,,
2.444410000,M,,
2.445451300,C,,
2.446492700,,,,
2.447534000,,,,
2.448575400,V,,
2.449616700,,,,
2.450658100,,,,
2.451699400,,,,
2.452740700,,,,
2.453782100,,,,
2.454823400,,,,
2.455864800,,,,
2.456906100,,,,
2.457947400,,,,
2.458988800,,,,
2.460030100,N,,
2.461071500,*,,
2.462112800,4,,
2.463154200,D,,
2.464195500,CR ,,
2.465236800,LF ,,
2.466278200,$,,
2.467319500,G,,
2.468360900,N,,
2.469402200,V,,
2.470443500,T,,
2.471484900,G,,
2.472526200,,,,
2.473567600,,,,
2.474608900,,,,
2.475650300,,,,
2.476691600,,,,
2.477733000,,,,
2.478774300,,,,
2.479815600,,,,
2.480857000,,,,
2.481898300,N,,
2.482939700,*,,
2.483981000,2,,
2.485022300,E,,
2.486063700,CR ,,
2.487105000,LF ,,
2.488146400,$,,
2.489187700,G,,
2.490229100,N,,
2.491270400,G,,
2.492311700,G,,
2.493353100,A,,
2.494394400,,,,
2.495435800,,,,
2.496477100,,,,
2.497518500,,,,
2.498559800,,,,
2.499601100,,,,
2.500642500,0,,
2.501683800,,,,
2.502725200,0,,
2.503766500,0,,
2.504807800,,,,
2.505849200,9,,
2.506890500,9,,
2.507931900,.,,
2.508973200,9,,
2.510014600,9,,
2.511055900,,,,
2.512097200,,,,
2.513138600,,,,
2.514179900,,,,
2.515221300,,,,
2.516262600,,,,
2.517303900,*,,
2.518345300,5,,
2.519386600,6,,
2.520428000,CR ,,
2.521469300,LF ,,
2.522510700,$,,
2.523552000,G,,
2.524593400,N,,
2.525634700,G,,
2.526676000,S,,
2.527717400,A,,
2.528758700,,,,
2.529800100,A,,
2.530841400,,,,
2.531882700,1,,
2.532924100,,,,
2.533965400,,,,
2.535006800,,,,
2.536048100,,,,
2.537089500,,,,
2.538130800,,,,
2.539172100,,,,
2.540213500,,,,
2.541254800,,,,
2.542296200,,,,
2.543337500,,,,
2.544378900,,,,
2.545420200,,,,
2.546461500,9,,
2.547502900,9,,
2.548544200,.,,
2.549585600,9,,
2.550626900,9,,
2.551668200,,,,
2.552709600,9,,
2.553750900,9,,
2.554792300,.,,
2.555833600,9,,
2.556875000,9,,
2.557916300,,,,
2.558957600,9,,
2.559999000,9,,
2.561040300,.,,
2.562081700,9,,
2.563123000,9,,
2.564164300,*,,
2.565205700,2,,
2.566247000,E,,
2.567288400,CR ,,
2.568329700,LF ,,
2.569371100,$,,
2.570412400,G,,
2.571453800,N,,
2.572495100,G,,
2.573536400,S,,
2.574577800,A,,
2.575619100,,,,
2.576660500,A,,
2.577701800,,,,
2.578743100,1,,
2.579784500,,,,
2.580825800,,,,
2.581867200,,,,
2.582908500,,,,
2.583949900,,,,
2.584991200,,,,
2.586032500,,,,
2.587073900,,,,
2.588115200,,,,
2.589156600,,,,
2.590197900,,,,
2.591239300,,,,
2.592280600,,,,
2.593321900,9,,
2.594363300,9,,
2.595404600,.,,
2.596446000,9,,
2.597487300,9,,
2.598528600,,,,
2.599570000,9,,
2.600611300,9,,
2.601652700,.,,
2.602694000,9,,
2.603735400,9,,
2.604776700,,,,
